iter	Passed	Remaining
0	7184	7177335
1	11998	5987085
2	16599	5516482
3	21217	5283277
4	25878	5149865
5	30424	5040274
6	34975	4961537
7	39512	4899583
8	44081	4853843
9	48677	4819117
10	53428	4803708
11	58009	4776086
12	62589	4752006
13	67138	4728487
14	71700	4708324
15	76274	4690882
16	80826	4673674
17	85383	4658136
18	89942	4643897
19	94492	4630141
20	99056	4617920
21	103597	4605395
22	108098	4591835
23	112626	4580160
24	117136	4568306
25	121638	4556783
26	126152	4546147
27	130661	4535826
28	135167	4525769
29	139666	4515871
30	144144	4505679
31	148700	4498194
32	153211	4489562
33	157714	4480936
34	162232	4472975
35	166754	4465324
36	171284	4458019
37	175798	4450472
38	180294	4442638
39	184796	4435122
40	189324	4428339
41	193824	4421040
42	198427	4416175
43	203078	4412331
44	207627	4406322
45	212114	4399079
46	216608	4392092
47	221148	4386102
48	225655	4379564
49	230141	4372694
50	234786	4368863
51	239313	4362862
52	243794	4356097
53	248282	4349540
54	252794	4343470
55	257312	4337547
56	261800	4331189
57	266300	4325082
58	270810	4319193
59	275332	4313540
60	279833	4307599
61	284342	4301832
62	288841	4295945
63	293332	4289993
64	297862	4284632
65	302383	4279187
66	306914	4273901
67	311409	4268145
68	315915	4262565
69	320403	4256786
70	324898	4251139
71	329396	4245548
72	333896	4240026
73	338396	4234526
74	342893	4229016
75	347413	4223811
76	351914	4218397
77	356414	4213000
78	360891	4207357
79	365398	4202080
80	369944	4197274
81	374488	4192442
82	378993	4187190
83	383477	4181730
84	387967	4176353
85	392464	4171072
86	396962	4165820
87	401452	4160506
88	405955	4155340
89	410443	4150043
90	415021	4145654
91	419615	4141421
92	424125	4136363
93	428609	4131066
94	433089	4125746
95	437570	4120453
96	442050	4115175
97	446518	4109789
98	451032	4104851
99	455530	4099777
100	460047	4094874
101	464552	4089881
102	469077	4085073
103	473562	4079926
104	478049	4074804
105	482531	4069652
106	487005	4064449
107	491504	4059464
108	496000	4054463
109	500491	4049434
110	505055	4044996
111	509572	4040178
112	514082	4035317
113	518564	4030243
114	523033	4025085
115	527591	4020608
116	532140	4016070
117	536648	4011221
118	541141	4006265
119	545622	4001233
120	550121	3996339
121	554624	3991479
122	559108	3986491
123	563618	3981689
124	568109	3976765
125	572622	3971998
126	577107	3967049
127	581581	3962024
128	586113	3957401
129	590588	3952402
130	595100	3947651
131	599756	3943853
132	604280	3939184
133	608809	3934547
134	613299	3929660
135	617804	3924874
136	622312	3920116
137	626763	3915000
138	631262	3910191
139	635769	3905443
140	640250	3900530
141	644735	3895657
142	649264	3891046
143	653791	3886425
144	658267	3881506
145	662761	3876702
146	667247	3871850
147	671736	3867025
148	676205	3862085
149	680705	3857333
150	685210	3852605
151	689713	3847876
152	694242	3843288
153	698758	3838636
154	703232	3833748
155	707742	3829066
156	712252	3824387
157	716746	3819623
158	721258	3814960
159	725754	3810211
160	730249	3805462
161	734741	3800699
162	739285	3796209
163	743799	3791560
164	748274	3786724
165	752773	3782007
166	757278	3777322
167	761754	3772498
168	766234	3767696
169	770720	3762928
170	775229	3758276
171	779769	3753772
172	784386	3749640
173	788914	3745074
174	793398	3740308
175	797885	3735552
176	802438	3731110
177	806998	3726702
178	811482	3721938
179	815976	3717225
180	820526	3712767
181	825027	3708091
182	829499	3703284
183	834017	3698687
184	838532	3694074
185	842993	3689227
186	847461	3684419
187	851939	3679655
188	856441	3674996
189	860926	3670263
190	865417	3665563
191	869922	3660922
